epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.0729,1.69043,4.93782,1.50741,0,0,0,0,1.69951,4.85561,1.43797,0.06931,0.00031,0.00031
2,69.4922,1.18908,2.61401,1.13257,0.26166,0.41997,0.25632,0.13372,1.26872,4.41703,1.01421,0.0376269,0.000626881,0.000626881
3,88.1144,1.15821,2.05531,1.11777,0.18251,0.80556,0.44346,0.26287,1.41169,3.49874,1.14145,0.00594059,0.000940595,0.000940595
4,106.813,1.11621,1.77845,1.11774,0.46596,0.67039,0.52075,0.30485,1.32394,2.79315,1.15323,0.00098515,0.00098515,0.00098515
5,125.361,1.08769,1.54633,1.13893,0.57564,0.64255,0.74247,0.44897,1.50625,1.63052,1.25715,0.0009802,0.0009802,0.0009802
6,143.633,1.07158,1.31051,1.10232,0.70258,0.79277,0.82594,0.51781,1.37733,1.35371,1.23438,0.00097525,0.00097525,0.00097525
7,162.044,1.05664,1.20057,1.09615,0.91676,0.7715,0.91747,0.59337,1.18325,1.12784,1.1282,0.0009703,0.0009703,0.0009703
8,180.292,1.03284,1.11497,1.09382,0.91985,0.94935,0.9598,0.57263,1.43332,1.01943,1.26148,0.00096535,0.00096535,0.00096535
9,198.561,0.98807,1.07416,1.0604,0.94632,0.94084,0.98761,0.60887,1.286,1.03792,1.1967,0.0009604,0.0009604,0.0009604
10,216.78,0.98989,0.98802,1.06125,0.86934,0.93423,0.91954,0.51251,1.52399,1.04183,1.33824,0.00095545,0.00095545,0.00095545
11,235.055,0.9936,0.96704,1.07352,0.87004,0.90097,0.94194,0.60335,1.23319,0.98192,1.17741,0.0009505,0.0009505,0.0009505
12,253.027,0.98073,0.90997,1.03583,0.92193,0.94916,0.97878,0.60236,1.28397,0.94304,1.21633,0.00094555,0.00094555,0.00094555
13,271.553,0.96857,0.92739,1.07495,0.91038,0.93001,0.9763,0.59692,1.31995,0.8304,1.21265,0.0009406,0.0009406,0.0009406
14,289.379,1.01056,0.92252,1.07523,0.91456,0.95603,0.98944,0.56164,1.42122,0.87503,1.27434,0.00093565,0.00093565,0.00093565
15,308.967,0.97909,0.88761,1.05356,0.9095,0.98859,0.98389,0.60915,1.265,0.93257,1.20148,0.0009307,0.0009307,0.0009307
16,329.168,0.9916,0.84625,1.07418,0.91704,0.93865,0.96225,0.55876,1.38629,0.92726,1.24994,0.00092575,0.00092575,0.00092575
17,347.087,0.98483,0.80395,1.05651,0.91221,0.93609,0.95116,0.59609,1.27158,0.83223,1.20395,0.0009208,0.0009208,0.0009208
18,363.692,1.01995,0.85496,1.0745,0.93788,0.9405,0.96089,0.61406,1.33052,0.78802,1.26809,0.00091585,0.00091585,0.00091585
19,380.862,0.98007,0.81154,1.03554,0.93063,0.96806,0.97031,0.58063,1.35918,0.82764,1.23065,0.0009109,0.0009109,0.0009109
20,399.118,0.93466,0.79075,1.02897,0.9191,0.95577,0.9631,0.60446,1.3035,0.79786,1.19502,0.00090595,0.00090595,0.00090595
21,417.371,0.9515,0.77115,1.03739,0.92333,0.9741,0.95595,0.66649,1.10946,0.72244,1.0877,0.000901,0.000901,0.000901
22,437.266,0.91686,0.7519,1.01188,0.94358,0.93361,0.96995,0.62469,1.26668,0.75472,1.2063,0.00089605,0.00089605,0.00089605
23,456.66,0.93266,0.73593,1.04036,0.93546,0.94871,0.96917,0.6524,1.21095,0.7475,1.1492,0.0008911,0.0008911,0.0008911
24,477.327,0.94018,0.73407,1.02995,0.91655,0.96712,0.97179,0.63551,1.23917,0.74617,1.17534,0.00088615,0.00088615,0.00088615
25,495.052,0.94724,0.74487,1.04873,0.9012,0.97699,0.9829,0.66448,1.21117,0.72361,1.14082,0.0008812,0.0008812,0.0008812
26,510.917,0.95166,0.75741,1.03369,0.95128,0.97262,0.99042,0.67353,1.21135,0.73278,1.14756,0.00087625,0.00087625,0.00087625
27,526.151,0.92718,0.72682,1.04252,0.94569,0.96506,0.99042,0.66178,1.30137,0.71144,1.22454,0.0008713,0.0008713,0.0008713
28,544.896,0.88099,0.68898,1.01158,0.93838,0.96763,0.98206,0.62065,1.38699,0.70828,1.26983,0.00086635,0.00086635,0.00086635
29,564.362,0.93218,0.73349,1.06388,0.94608,0.98906,0.97278,0.58675,1.43644,0.70973,1.32619,0.0008614,0.0008614,0.0008614
30,579.028,0.93485,0.69611,1.02195,0.94755,0.97814,0.97278,0.64536,1.23708,0.68195,1.15025,0.00085645,0.00085645,0.00085645
31,596.416,0.85693,0.69395,1.00524,0.96149,0.98912,0.97833,0.57739,1.44181,0.70756,1.27473,0.0008515,0.0008515,0.0008515
32,616.474,0.88767,0.68043,1.01091,0.9272,0.97587,0.97278,0.64992,1.22846,0.73066,1.12302,0.00084655,0.00084655,0.00084655
33,630.917,0.88857,0.66689,1.02347,0.9446,0.98877,0.97278,0.60695,1.36134,0.68994,1.24439,0.0008416,0.0008416,0.0008416
34,645.755,0.89763,0.66541,1.01884,0.93396,0.96817,0.97833,0.66305,1.16585,0.66572,1.12318,0.00083665,0.00083665,0.00083665
35,658.513,0.86695,0.65761,0.99528,0.92279,0.98964,0.98944,0.64423,1.30831,0.70045,1.19042,0.0008317,0.0008317,0.0008317
36,671.647,0.85639,0.67011,0.9857,0.95207,0.98345,0.98389,0.63547,1.28632,0.70787,1.1715,0.00082675,0.00082675,0.00082675
37,684.021,0.89581,0.65657,1.01118,0.96002,0.98708,0.96736,0.63571,1.25037,0.6995,1.15221,0.0008218,0.0008218,0.0008218
38,695.753,0.89667,0.65811,1.00284,0.95558,0.95454,0.96444,0.60359,1.36395,0.7183,1.21642,0.00081685,0.00081685,0.00081685
39,707.754,0.87068,0.63142,1.02488,0.95936,0.95296,0.96444,0.62591,1.20346,0.67932,1.12172,0.0008119,0.0008119,0.0008119
40,720.947,0.85183,0.62517,1.01005,0.95819,0.9608,0.97542,0.56944,1.48833,0.68822,1.3,0.00080695,0.00080695,0.00080695
41,734.099,0.89881,0.62729,1.02345,0.93317,0.99796,0.98389,0.62214,1.28784,0.67606,1.20817,0.000802,0.000802,0.000802
42,745.659,0.85461,0.6222,1.01266,0.95706,0.96623,0.98944,0.62289,1.33964,0.70507,1.22635,0.00079705,0.00079705,0.00079705
43,756.683,0.8495,0.62935,0.99926,0.93782,0.97888,0.995,0.63267,1.23629,0.65447,1.19331,0.0007921,0.0007921,0.0007921
44,767.557,0.89349,0.63704,1.01582,0.95657,0.9697,0.98944,0.65715,1.20333,0.64894,1.15739,0.00078715,0.00078715,0.00078715
45,779.417,0.85493,0.625,1.01276,0.91571,0.98002,0.98389,0.6206,1.28045,0.71006,1.19845,0.0007822,0.0007822,0.0007822
46,791.823,0.88054,0.64803,1.01064,0.87425,0.9579,0.9569,0.67089,1.10934,0.68933,1.10213,0.00077725,0.00077725,0.00077725
